asset_id,date,asset_type,metric,value
AST-1000,2026-05-16,Point Machine,motor_current_amps,2.36
AST-1000,2026-05-16,Point Machine,switching_time_seconds,4.669
AST-1000,2026-05-17,Point Machine,motor_current_amps,2.463
AST-1000,2026-05-17,Point Machine,switching_time_seconds,4.701
AST-1000,2026-05-18,Point Machine,motor_current_amps,2.529
AST-1000,2026-05-18,Point Machine,switching_time_seconds,4.687
AST-1000,2026-05-19,Point Machine,motor_current_amps,2.606
AST-1000,2026-05-19,Point Machine,switching_time_seconds,4.696
AST-1000,2026-05-20,Point Machine,motor_current_amps,2.616
AST-1000,2026-05-20,Point Machine,switching_time_seconds,4.826
AST-1000,2026-05-21,Point Machine,motor_current_amps,2.676
AST-1000,2026-05-21,Point Machine,switching_time_seconds,4.872
AST-1000,2026-05-22,Point Machine,motor_current_amps,2.725
AST-1000,2026-05-22,Point Machine,switching_time_seconds,4.881
AST-1000,2026-05-23,Point Machine,motor_current_amps,2.724
AST-1000,2026-05-23,Point Machine,switching_time_seconds,4.826
AST-1000,2026-05-24,Point Machine,motor_current_amps,2.801
AST-1000,2026-05-24,Point Machine,switching_time_seconds,4.836
AST-1000,2026-05-25,Point Machine,motor_current_amps,2.848
AST-1000,2026-05-25,Point Machine,switching_time_seconds,4.88
AST-1000,2026-05-26,Point Machine,motor_current_amps,2.906
AST-1000,2026-05-26,Point Machine,switching_time_seconds,5.027
AST-1000,2026-05-27,Point Machine,motor_current_amps,2.967
AST-1000,2026-05-27,Point Machine,switching_time_seconds,5.014
AST-1000,2026-05-28,Point Machine,motor_current_amps,3.005
AST-1000,2026-05-28,Point Machine,switching_time_seconds,5.033
AST-1000,2026-05-29,Point Machine,motor_current_amps,3.13
AST-1000,2026-05-29,Point Machine,switching_time_seconds,5.15
AST-1000,2026-05-30,Point Machine,motor_current_amps,3.15
AST-1000,2026-05-30,Point Machine,switching_time_seconds,5.094
AST-1000,2026-05-31,Point Machine,motor_current_amps,3.215
AST-1000,2026-05-31,Point Machine,switching_time_seconds,5.133
AST-1000,2026-06-01,Point Machine,motor_current_amps,3.233
AST-1000,2026-06-01,Point Machine,switching_time_seconds,5.338
AST-1000,2026-06-02,Point Machine,motor_current_amps,3.312
AST-1000,2026-06-02,Point Machine,switching_time_seconds,5.291
AST-1000,2026-06-03,Point Machine,motor_current_amps,3.369
AST-1000,2026-06-03,Point Machine,switching_time_seconds,5.389
AST-1000,2026-06-04,Point Machine,motor_current_amps,3.431
AST-1000,2026-06-04,Point Machine,switching_time_seconds,5.306
AST-1000,2026-06-05,Point Machine,motor_current_amps,3.409
AST-1000,2026-06-05,Point Machine,switching_time_seconds,5.363
AST-1000,2026-06-06,Point Machine,motor_current_amps,3.486
AST-1000,2026-06-06,Point Machine,switching_time_seconds,5.382
AST-1000,2026-06-07,Point Machine,motor_current_amps,3.606
AST-1000,2026-06-07,Point Machine,switching_time_seconds,5.555
AST-1000,2026-06-08,Point Machine,motor_current_amps,3.596
AST-1000,2026-06-08,Point Machine,switching_time_seconds,5.551
AST-1000,2026-06-09,Point Machine,motor_current_amps,3.657
AST-1000,2026-06-09,Point Machine,switching_time_seconds,5.643
AST-1000,2026-06-10,Point Machine,motor_current_amps,3.716
AST-1000,2026-06-10,Point Machine,switching_time_seconds,5.553
AST-1000,2026-06-11,Point Machine,motor_current_amps,3.747
AST-1000,2026-06-11,Point Machine,switching_time_seconds,5.652
AST-1000,2026-06-12,Point Machine,motor_current_amps,3.802
AST-1000,2026-06-12,Point Machine,switching_time_seconds,5.697
AST-1000,2026-06-13,Point Machine,motor_current_amps,3.918
AST-1000,2026-06-13,Point Machine,switching_time_seconds,5.7
AST-1000,2026-06-14,Point Machine,motor_current_amps,3.903
AST-1000,2026-06-14,Point Machine,switching_time_seconds,5.86
AST-1001,2026-05-16,Track Circuit,receiver_voltage_volts,2.1
AST-1001,2026-05-17,Track Circuit,receiver_voltage_volts,2.066
AST-1001,2026-05-18,Track Circuit,receiver_voltage_volts,2.046
AST-1001,2026-05-19,Track Circuit,receiver_voltage_volts,2.03
AST-1001,2026-05-20,Track Circuit,receiver_voltage_volts,2.033
AST-1001,2026-05-21,Track Circuit,receiver_voltage_volts,2.022
AST-1001,2026-05-22,Track Circuit,receiver_voltage_volts,1.989
AST-1001,2026-05-23,Track Circuit,receiver_voltage_volts,1.957
AST-1001,2026-05-24,Track Circuit,receiver_voltage_volts,1.951
AST-1001,2026-05-25,Track Circuit,receiver_voltage_volts,1.958
AST-1001,2026-05-26,Track Circuit,receiver_voltage_volts,1.921
AST-1001,2026-05-27,Track Circuit,receiver_voltage_volts,1.921
AST-1001,2026-05-28,Track Circuit,receiver_voltage_volts,1.898
AST-1001,2026-05-29,Track Circuit,receiver_voltage_volts,1.846
AST-1001,2026-05-30,Track Circuit,receiver_voltage_volts,1.857
AST-1001,2026-05-31,Track Circuit,receiver_voltage_volts,1.837
AST-1001,2026-06-01,Track Circuit,receiver_voltage_volts,1.813
AST-1001,2026-06-02,Track Circuit,receiver_voltage_volts,1.785
AST-1001,2026-06-03,Track Circuit,receiver_voltage_volts,1.782
AST-1001,2026-06-04,Track Circuit,receiver_voltage_volts,1.742
AST-1001,2026-06-05,Track Circuit,receiver_voltage_volts,1.737
AST-1001,2026-06-06,Track Circuit,receiver_voltage_volts,1.72
AST-1001,2026-06-07,Track Circuit,receiver_voltage_volts,1.722
AST-1001,2026-06-08,Track Circuit,receiver_voltage_volts,1.701
AST-1001,2026-06-09,Track Circuit,receiver_voltage_volts,1.659
AST-1001,2026-06-10,Track Circuit,receiver_voltage_volts,1.65
AST-1001,2026-06-11,Track Circuit,receiver_voltage_volts,1.619
AST-1001,2026-06-12,Track Circuit,receiver_voltage_volts,1.631
AST-1001,2026-06-13,Track Circuit,receiver_voltage_volts,1.611
AST-1001,2026-06-14,Track Circuit,receiver_voltage_volts,1.57
AST-1002,2026-05-16,Axle Counter,vibration_g,2.528
AST-1002,2026-05-16,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-17,Axle Counter,vibration_g,2.592
AST-1002,2026-05-17,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-18,Axle Counter,vibration_g,2.571
AST-1002,2026-05-18,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-19,Axle Counter,vibration_g,2.763
AST-1002,2026-05-19,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-20,Axle Counter,vibration_g,2.788
AST-1002,2026-05-20,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-21,Axle Counter,vibration_g,2.906
AST-1002,2026-05-21,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-22,Axle Counter,vibration_g,2.926
AST-1002,2026-05-22,Axle Counter,count_discrepancy_flag,0
AST-1002,2026-05-23,Axle Counter,vibration_g,2.89
AST-1002,2026-05-23,Axle Counter,count_discrepancy_flag,0
